country,year,union_central,border,diligence,disclosure
bangladesh,2024,0.6428,0.1684,0.3599,0.1146
bangladesh,2025,0.6428,0.1684,0.3599,0.2945
bangladesh,2026,0.6428,0.1685,0.3599,0.2945
bangladesh,2027,0.8827,0.7682,0.3599,0.4744
bangladesh,2028,0.8827,0.7682,0.3599,0.4744
bangladesh,2029,0.8827,0.7682,0.3599,0.4744
bangladesh,2030,0.8827,0.7682,0.3599,0.4744
india,2024,0.5022,0.215,0.1928,0.0944
india,2025,0.5022,0.215,0.1928,0.1908
india,2026,0.5022,0.2204,0.1928,0.1908
india,2027,0.6307,0.5364,0.2004,0.2872
india,2028,0.6307,0.5364,0.2004,0.2872
india,2029,0.6307,0.5364,0.2004,0.2872
india,2030,0.6307,0.5364,0.2004,0.2872
vietnam,2024,0.4222,0.2385,0.1179,0.0659
vietnam,2025,0.4222,0.2385,0.1179,0.1248
vietnam,2026,0.4222,0.2428,0.1179,0.1248
vietnam,2027,0.5008,0.4349,0.1295,0.1838
vietnam,2028,0.5008,0.4349,0.1295,0.1838
vietnam,2029,0.5008,0.4349,0.1295,0.1838
vietnam,2030,0.5008,0.4349,0.1295,0.1838
indonesia,2024,0.3689,0.1705,0.1323,0.0661
indonesia,2025,0.3689,0.1705,0.1323,0.1322
indonesia,2026,0.3689,0.1853,0.1323,0.1322
indonesia,2027,0.457,0.391,0.1354,0.1983
indonesia,2028,0.457,0.391,0.1354,0.1983
indonesia,2029,0.457,0.391,0.1354,0.1983
indonesia,2030,0.457,0.391,0.1354,0.1983
brazil,2024,0.3729,0.0489,0.2336,0.0904
brazil,2025,0.3729,0.0489,0.2336,0.2072
brazil,2026,0.3729,0.0863,0.2336,0.2072
brazil,2027,0.5286,0.4383,0.2344,0.324
brazil,2028,0.5286,0.4383,0.2344,0.324
brazil,2029,0.5286,0.4383,0.2344,0.324
brazil,2030,0.5286,0.4383,0.2344,0.324
thailand,2024,0.4058,0.211,0.1102,0.0846
thailand,2025,0.4058,0.211,0.1102,0.1397
thailand,2026,0.4058,0.2147,0.1102,0.1397
thailand,2027,0.4793,0.3947,0.1226,0.1948
thailand,2028,0.4793,0.3947,0.1226,0.1948
thailand,2029,0.4793,0.3947,0.1226,0.1948
thailand,2030,0.4793,0.3947,0.1226,0.1948
ethiopia,2024,0.4754,0.1771,0.2392,0.059
ethiopia,2025,0.4754,0.1771,0.2392,0.1787
ethiopia,2026,0.4754,0.2581,0.2392,0.1787
ethiopia,2027,0.6349,0.5759,0.2394,0.2983
ethiopia,2028,0.6349,0.5759,0.2394,0.2983
ethiopia,2029,0.6349,0.5759,0.2394,0.2983
ethiopia,2030,0.6349,0.5759,0.2394,0.2983
kenya,2024,0.6393,0.1858,0.2961,0.1574
kenya,2025,0.6393,0.1858,0.2961,0.3055
kenya,2026,0.6393,0.2275,0.2961,0.3055
kenya,2027,0.8367,0.6793,0.2963,0.4535
kenya,2028,0.8367,0.6793,0.2963,0.4535
kenya,2029,0.8367,0.6793,0.2963,0.4535
kenya,2030,0.8367,0.6793,0.2963,0.4535
ghana,2024,0.4315,0.0132,0.3401,0.0783
ghana,2025,0.4315,0.0132,0.3401,0.2483
ghana,2026,0.4315,0.164,0.3401,0.2483
ghana,2027,0.6582,0.58,0.3401,0.4183
ghana,2028,0.6582,0.58,0.3401,0.4183
ghana,2029,0.6582,0.58,0.3401,0.4183
ghana,2030,0.6582,0.58,0.3401,0.4183
cote-divoire,2024,0.5103,0.0002,0.4135,0.0966
cote-divoire,2025,0.5103,0.0002,0.4135,0.3033
cote-divoire,2026,0.5103,0.1931,0.4135,0.3033
cote-divoire,2027,0.7859,0.6893,0.4135,0.5101
cote-divoire,2028,0.7859,0.6893,0.4135,0.5101
cote-divoire,2029,0.7859,0.6893,0.4135,0.5101
cote-divoire,2030,0.7859,0.6893,0.4135,0.5101
